election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,West Bengal,Baharampur,General,Bahujan Samaj Party,BSP,SANTOSH BISWAS,4219,19,4238,7,
2024,West Bengal,Baharampur,General,Independent,Ind,BISWAMVOIR KALITA,3060,2,3062,8,
2024,West Bengal,Baharampur,General,All India Arya Mahasabha,Other-254,SOMNATH PAUL,2250,-,2250,9,
2024,West Bengal,Baharampur,General,Social Democratic Party Of India,Other-91,RUNA LAILA,1569,2,1571,10,
2024,West Bengal,Baharampur,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,ABHIJIT MANDAL,1410,8,1418,11,
2024,West Bengal,Baharampur,General,Independent,Ind,ASHIS DAS,1106,4,1110,12,
2024,West Bengal,Baharampur,General,Independent,Ind,ADHIR SWARNAKAR,851,5,856,13,
2024,West Bengal,Baharampur,General,Independent,Ind,AJIT KUMAR MANDAL,745,4,749,14,
2024,West Bengal,Baharampur,General,Jai Prakash Janata Dal,Other-157,MANIK KUMAR DAS,729,-,729,15,
2024,West Bengal,Baharampur,General,Indian National Socialistic Action Forces,Other-286,AABDUSA SATTAR SEKH,477,7,484,16,
2024,West Bengal,Baharampur,General,None of the Above,NOTA,NOTA,7474,11,7485,5,
2024,West Bengal,Murshidabad,General,All India Trinamool Congress,AITC,ABU TAHER KHAN,681674,768,682442,1,
2024,West Bengal,Murshidabad,General,Communist Party of India (Marxist),CPI-M,MD SALIM,517733,494,518227,2,
2024,West Bengal,Murshidabad,General,Bharatiya Janata Party,BJP,GOURI SANKAR GHOSH,291013,1018,292031,3,
2024,West Bengal,Murshidabad,General,All India Secular Front,Other-24,HABIB SAIKH,12359,11,12370,5,
2024,West Bengal,Murshidabad,General,Bhartiya Lokmat Rashtrwadi Party,Other-151,ASIM RAY,5522,12,5534,6,
2024,West Bengal,Murshidabad,General,Independent,Ind,SAHABUDDIN MALLIK,4156,-,4156,7,
2024,West Bengal,Murshidabad,General,Independent,Ind,RAFIKUL ISLAM,4064,1,4065,8,
2024,West Bengal,Murshidabad,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,MAHAFUJUL ALAM,3423,3,3426,9,
2024,West Bengal,Murshidabad,General,Social Democratic Party Of India,Other-91,MD TAIEDUL ISLAM,3291,2,3293,10,
2024,West Bengal,Murshidabad,General,Independent,Ind,DHANANJOY SARKAR,1535,4,1539,11,
2024,West Bengal,Murshidabad,General,Independent,Ind,KRISHNA PROSAD BISWAS,1197,9,1206,12,
2024,West Bengal,Murshidabad,General,None of the Above,NOTA,NOTA,13249,21,13270,4,
2024,West Bengal,Krishnanagar,General,All India Trinamool Congress,AITC,MAHUA MOITRA,624711,4078,628789,1,
2024,West Bengal,Krishnanagar,General,Bharatiya Janata Party,BJP,AMRITA ROY,567628,4456,572084,2,
